,altitude_above_seaLevel(feet), compass_heading(degrees),latitude,longitude,altitude(feet), roll(degrees), pitch(degrees),height_above_takeoff(feet),gimbal_heading(degrees),gimbal_pitch(degrees)
3734,2019.2906984756,308.7,40.2732472373219,-7.499214414693,2019.2906984756,8.4,2.9,264.763788,308.2,-89.9
3735,2019.2906984756,308.7,40.2732472312771,-7.49921443732695,2019.2906984756,8.4,3.1,264.763788,308.2,-89.9
3736,2019.2906984756,308.7,40.2732472310687,-7.4992144646314,2019.2906984756,8.7,2.9,264.763788,308.2,-89.9
3737,2019.2906984756,308.7,40.2732472456596,-7.49921446238597,2019.2906984756,8.7,2.9,264.763788,308.2,-89.9
3738,2019.2906984756,308.7,40.2732473544657,-7.49921447334367,2019.2906984756,8.6,3.0,264.763788,308.2,-89.9
3739,2019.2906984756,308.8,40.2732473490462,-7.49921445017082,2019.2906984756,8.5,3.4,264.763788,308.2,-89.9
3740,2019.2906984756,308.7,40.2732473340385,-7.49921441810605,2019.2906984756,8.4,3.2,264.763788,308.2,-89.9
3741,2019.2906984756,308.8,40.2732472981866,-7.4992143897238,2019.2906984756,8.3,3.0,264.763788,308.2,-89.9
3742,2019.2906984756,308.8,40.2732471526949,-7.49921434131229,2019.2906984756,8.5,3.1,264.763788,308.2,-89.9
3743,2019.2906984756,308.8,40.2732471479008,-7.49921435253945,2019.2906984756,8.4,3.2,264.763788,308.2,-89.9
3744,2018.9626144756,308.8,40.2732471572806,-7.4992143705029,2018.9626144756,8.0,3.1,264.435704,308.2,-89.9
3745,2019.2906984756,308.7,40.2732471712462,-7.49921433143239,2019.2906984756,8.1,3.0,264.763788,308.2,-89.9
3746,2018.9626144756,308.6,40.2732472179369,-7.49921431409766,2018.9626144756,8.0,2.9,264.435704,308.2,-89.9
3747,2018.9626144756,308.6,40.2732472362797,-7.49921428059582,2018.9626144756,8.1,3.1,264.435704,308.2,-89.9
3748,2018.9626144756,308.6,40.2732472558732,-7.4992142586804,2018.9626144756,8.0,3.1,264.435704,308.2,-89.9
3749,2018.9626144756,308.6,40.2732472731738,-7.49921426649451,2018.9626144756,8.1,3.3,264.435704,308.2,-89.9
3750,2018.9626144756,308.5,40.2732472929756,-7.49921428364961,2018.9626144756,8.1,3.4,264.435704,308.2,-89.9
3751,2018.9626144756,308.5,40.273247309234,-7.49921436637131,2018.9626144756,8.0,3.5,264.435704,308.2,-89.9
3752,2018.9626144756,308.6,40.2732473211151,-7.49921440113059,2018.9626144756,8.1,3.7,264.435704,308.2,-89.9
3753,2018.9626144756,308.6,40.2732473615527,-7.49921443103974,2018.9626144756,8.0,3.9,264.435704,308.2,-89.9
3754,2019.2906984756,308.6,40.2732474059506,-7.49921445852383,2019.2906984756,8.2,3.6,264.763788,308.2,-89.9
3755,2019.2906984756,308.6,40.2732474222089,-7.49921454070663,2019.2906984756,8.3,3.6,264.763788,308.2,-89.9
3756,2018.9626144756,308.6,40.273247415122,-7.49921454034736,2018.9626144756,8.3,3.7,264.435704,308.2,-89.9
3757,2019.2906984756,308.6,40.2732473865656,-7.49921456073588,2019.2906984756,8.2,3.4,264.763788,308.2,-89.9
3758,2019.2906984756,308.6,40.2732473473787,-7.4992145837291,2019.2906984756,8.6,3.2,264.763788,308.2,-89.9
3759,2019.2906984756,308.6,40.2732472454511,-7.49921459423772,2019.2906984756,8.7,3.2,264.763788,308.2,-89.9
3760,2019.2906984756,308.6,40.2732472196045,-7.49921456837034,2019.2906984756,8.3,3.4,264.763788,308.2,-89.9
3761,2019.6187824756,308.6,40.2732472064727,-7.49921453531759,2019.6187824756,8.2,3.5,265.091872,308.2,-89.9
3762,2019.6187824756,308.6,40.273247189589,-7.49921449992959,2019.6187824756,8.4,3.3,265.091872,308.2,-89.9
3763,2019.2906984756,308.7,40.2732471039198,-7.49921456702309,2019.2906984756,8.6,3.3,264.763788,308.2,-89.9
3764,2019.2906984756,308.7,40.2732470478492,-7.49921459064503,2019.2906984756,8.6,3.3,264.763788,308.2,-89.9
3765,2019.2906984756,308.7,40.2732470230448,-7.49921455471812,2019.2906984756,8.6,3.0,264.763788,308.2,-89.9
3766,2019.2906984756,308.7,40.2732470074117,-7.4992145000194,2019.2906984756,8.6,3.0,264.763788,308.2,-89.9
3767,2019.2906984756,308.7,40.2732469678079,-7.49921446454158,2019.2906984756,8.7,3.2,264.763788,308.2,-89.9
3768,2018.9626144756,308.7,40.2732469154893,-7.49921439313685,2018.9626144756,8.7,3.1,264.435704,308.2,-89.9
3769,2019.2906984756,308.7,40.2732468979803,-7.49921436313789,2019.2906984756,8.7,2.9,264.763788,308.2,-89.9
3770,2019.2906984756,308.6,40.2732468894342,-7.49921433224075,2019.2906984756,8.8,2.8,264.763788,308.2,-89.9
3771,2018.9626144756,308.6,40.2732468573343,-7.49921431400784,2018.9626144756,8.6,2.8,264.435704,308.2,-89.9
3772,2018.9626144756,308.6,40.2732468319045,-7.49921437427523,2018.9626144756,8.5,2.8,264.435704,308.2,-89.9
3773,2018.9626144756,308.6,40.2732468162714,-7.49921433107312,2018.9626144756,8.8,2.7,264.435704,308.2,-89.9
3774,2018.9626144756,308.6,40.2732468098098,-7.49921427655404,2018.9626144756,8.9,2.8,264.435704,308.2,-89.9
3775,2019.2906984756,308.6,40.2732467820871,-7.49921425796187,2019.2906984756,8.8,2.6,264.763788,308.2,-89.9
3776,2019.2906984756,308.6,40.2732467606177,-7.4992142648778,2019.2906984756,8.8,2.7,264.763788,308.2,-89.9
3777,2019.2906984756,308.6,40.2732467629106,-7.49921427350025,2019.2906984756,9.0,2.8,264.763788,308.2,-89.9
3778,2019.2906984756,308.6,40.2732467785437,-7.49921427835039,2019.2906984756,8.5,2.7,264.763788,308.2,-89.9
3779,2018.9626144756,308.6,40.2732467704145,-7.49921428176344,2018.9626144756,8.3,2.7,264.435704,308.2,-89.9
3780,2018.9626144756,308.6,40.2732467531139,-7.49921438397549,2018.9626144756,8.5,2.7,264.435704,308.2,-89.9
3781,2018.9626144756,308.6,40.273246754573,-7.49921438631074,2018.9626144756,8.6,2.5,264.435704,308.2,-89.9
3782,2018.9626144756,308.6,40.2732467672879,-7.49921439071179,2018.9626144756,8.6,2.6,264.435704,308.2,-89.9
3783,2018.9626144756,308.6,40.2732467449847,-7.49921439861571,2018.9626144756,8.7,2.9,264.435704,308.2,-89.9
3784,2018.9626144756,308.6,40.2732467141354,-7.49921441029195,2018.9626144756,8.8,2.8,264.435704,308.2,-89.9
3785,2019.2906984756,308.6,40.273246660983,-7.49921445672748,2019.2906984756,8.9,3.0,264.763788,308.2,-89.9
3786,2018.9626144756,308.6,40.2732466741148,-7.49921447388258,2018.9626144756,8.8,3.1,264.435704,308.2,-89.9
3787,2019.2906984756,308.7,40.2732467037134,-7.49921448142723,2019.2906984756,8.7,3.3,264.763788,308.2,-89.9
3788,2019.2906984756,308.6,40.2732467372724,-7.49921448124759,2019.2906984756,8.5,3.5,264.763788,308.2,-89.9
3789,2018.9626144756,308.6,40.2732468014721,-7.49921447990034,2018.9626144756,8.7,3.3,264.435704,308.2,-89.9
3790,2018.9626144756,308.6,40.2732468277357,-7.49921445358388,2018.9626144756,8.4,3.5,264.435704,308.2,-89.9
3791,2018.9626144756,308.6,40.273246833572,-7.49921441226793,2018.9626144756,8.6,3.0,264.435704,308.2,-89.9
3792,2018.9626144756,308.5,40.2732468325298,-7.4992143658324,2018.9626144756,8.5,2.8,264.435704,308.2,-89.9
3793,2018.9626144756,308.6,40.2732467604093,-7.49921432146267,2018.9626144756,8.6,2.9,264.435704,308.2,-89.9
3794,2018.9626144756,308.6,40.2732467520717,-7.49921429056554,2018.9626144756,8.7,3.0,264.435704,308.2,-89.9
3795,2018.9626144756,308.5,40.2732467501957,-7.49921431149296,2018.9626144756,8.6,3.1,264.435704,308.2,-89.9
3796,2018.9626144756,308.5,40.2732467539476,-7.4992143470606,2018.9626144756,8.3,3.0,264.435704,308.2,-89.9
3797,2018.9626144756,308.6,40.2732467470691,-7.49921451591706,2018.9626144756,8.3,3.3,264.435704,308.2,-89.9
3798,2018.9626144756,308.6,40.2732467681216,-7.49921453253325,2018.9626144756,8.4,3.3,264.435704,308.2,-89.9
3799,2018.9626144756,308.6,40.2732468246091,-7.49921449930087,2018.9626144756,8.1,3.3,264.435704,308.2,-89.9
3800,2018.6345304756,308.5,40.2732468973549,-7.49921444343452,2018.6345304756,8.2,3.3,264.10762,308.2,-89.9
3801,2018.6345304756,308.6,40.2732469338321,-7.49921440705853,2018.6345304756,8.0,3.5,264.10762,308.2,-89.9
3802,2018.6345304756,308.6,40.2732470059526,-7.49921432110341,2018.6345304756,7.8,3.5,264.10762,308.2,-89.9
3803,2018.6345304756,308.5,40.2732470278389,-7.49921430538538,2018.6345304756,8.3,3.0,264.10762,308.2,-89.9
3804,2018.9626144756,308.5,40.2732470530602,-7.49921429945744,2018.9626144756,8.3,3.3,264.435704,308.2,-89.9
3805,2018.9626144756,308.5,40.2732470436804,-7.49921430799009,2018.9626144756,8.4,3.4,264.435704,308.2,-89.9
3806,2018.9626144756,308.6,40.2732469882351,-7.49921439035252,2018.9626144756,8.6,3.6,264.435704,308.2,-89.9
3807,2018.9626144756,308.6,40.2732469903195,-7.49921440768725,2018.9626144756,8.7,3.5,264.435704,308.2,-89.9
3808,2018.9626144756,308.5,40.27324700095,-7.49921442187838,2018.9626144756,8.6,3.0,264.435704,308.2,-89.9
3809,2018.9626144756,308.6,40.2732469967812,-7.49921443355463,2018.9626144756,8.8,3.1,264.435704,308.2,-89.9
3810,2018.9626144756,308.6,40.2732470069948,-7.49921447963088,2018.9626144756,8.8,3.1,264.435704,308.2,-89.9
3811,2018.9626144756,308.6,40.2732469546762,-7.49921450657606,2018.9626144756,8.7,2.8,264.435704,308.2,-89.9
3812,2018.9626144756,308.6,40.2732468958958,-7.49921454232334,2018.9626144756,8.6,3.0,264.435704,308.2,-89.9
3813,2018.9626144756,308.5,40.2732468756771,-7.49921455570611,2018.9626144756,8.8,3.0,264.435704,308.2,-89.9
3814,2018.9626144756,308.5,40.2732467908417,-7.4992146165124,2018.9626144756,8.9,3.3,264.435704,308.2,-89.9
3815,2018.9626144756,308.5,40.2732468083507,-7.49921465818761,2018.9626144756,8.9,3.4,264.435704,308.2,-89.9
3816,2018.9626144756,308.5,40.2732468381577,-7.4992147111798,2018.9626144756,8.8,3.7,264.435704,308.2,-89.9
3817,2018.9626144756,308.6,40.2732468358649,-7.49921473749626,2018.9626144756,8.8,3.8,264.435704,308.2,-89.9
3818,2018.9626144756,308.6,40.2732468233584,-7.49921475474118,2018.9626144756,8.8,3.7,264.435704,308.2,-89.9
3819,2018.9626144756,308.6,40.2732468294032,-7.49921479704511,2018.9626144756,8.6,3.8,264.435704,308.2,-89.9
3820,2018.9626144756,308.6,40.2732468475376,-7.49921478429106,2018.9626144756,8.6,3.8,264.435704,308.2,-89.9
3821,2018.9626144756,308.6,40.27324686192,-7.49921483925922,2018.9626144756,8.6,3.8,264.435704,308.2,-89.9
3822,2018.9626144756,308.5,40.2732468815134,-7.49921491120286,2018.9626144756,8.8,3.7,264.435704,308.2,-89.9
3823,2018.9626144756,308.5,40.2732470026176,-7.49921510170528,2018.9626144756,8.5,3.9,264.435704,308.2,-89.9
3824,2018.9626144756,308.4,40.2732470755718,-7.49921514356013,2018.9626144756,8.3,4.0,264.435704,308.2,-89.9
3825,2018.9626144756,308.4,40.2732471147587,-7.49921513233297,2018.9626144756,8.3,4.2,264.435704,308.2,-89.9
3826,2018.9626144756,308.5,40.2732471447742,-7.49921509811259,2018.9626144756,8.1,4.1,264.435704,308.2,-89.9
3827,2018.6345304756,308.5,40.2732470820335,-7.49921505329377,2018.6345304756,8.2,3.9,264.10762,308.2,-89.9
3828,2018.6345304756,308.5,40.2732470909965,-7.49921503092927,2018.6345304756,8.0,3.7,264.10762,308.2,-89.9
3829,2018.6345304756,308.5,40.2732470884952,-7.49921503057,2018.6345304756,7.9,3.9,264.10762,308.2,-89.9
3830,2018.6345304756,308.6,40.2732470824504,-7.49921503344416,2018.6345304756,8.0,4.1,264.10762,308.2,-89.9
3831,2018.3064464756,308.5,40.2732470982919,-7.49921507053869,2018.3064464756,7.7,3.7,263.779536,308.2,-89.9
3832,2018.3064464756,308.5,40.2732471372703,-7.49921503901283,2018.3064464756,7.9,3.7,263.779536,308.2,-89.9
3833,2017.9783624756,308.6,40.2732471870877,-7.49921497596111,2017.9783624756,7.7,4.0,263.451452,308.2,-89.9
3834,2018.3064464756,308.6,40.2732472360713,-7.49921489692191,2018.3064464756,7.8,3.9,263.779536,308.2,-89.9
3835,2018.3064464756,308.6,40.2732472416992,-7.49921485686341,2018.3064464756,7.9,3.7,263.779536,308.2,-89.9
3836,2018.6345304756,308.5,40.273247238781,-7.49921480521848,2018.6345304756,7.8,3.7,264.10762,308.2,-89.9
3837,2018.6345304756,308.5,40.2732472556647,-7.49921481078715,2018.6345304756,8.0,3.7,264.10762,308.2,-89.9
3838,2018.6345304756,308.5,40.2732472815114,-7.49921482776261,2018.6345304756,8.0,3.9,264.10762,308.2,-89.9
3839,2018.6345304756,308.5,40.2732472817198,-7.4992148224634,2018.6345304756,8.1,4.0,264.10762,308.2,-89.9
3840,2018.6345304756,308.5,40.2732472687965,-7.49921485901902,2018.6345304756,8.2,4.2,264.10762,308.2,-89.9
3841,2018.6345304756,308.5,40.2732472500368,-7.49921487213234,2018.6345304756,8.4,4.3,264.10762,308.2,-89.9
3842,2018.6345304756,308.6,40.273247224607,-7.49921489072452,2018.6345304756,8.4,4.1,264.10762,308.2,-89.9
3843,2018.6345304756,308.6,40.2732472348206,-7.499214905724,2018.6345304756,8.5,4.1,264.10762,308.2,-89.9
3844,2018.9626144756,308.6,40.273247287973,-7.49921497452403,2018.9626144756,8.7,3.9,264.435704,308.2,-89.9
3845,2018.6345304756,308.5,40.2732472416992,-7.49921496653029,2018.6345304756,8.8,3.8,264.10762,308.2,-89.9
3846,2018.6345304756,308.5,40.2732471764572,-7.49921495215953,2018.6345304756,8.6,3.7,264.10762,308.2,-89.9
3847,2018.9626144756,308.5,40.2732471403969,-7.49921497362586,2018.9626144756,8.7,3.6,264.435704,308.2,-89.9
3848,2018.9626144756,308.5,40.2732470436804,-7.49921508005932,2018.9626144756,8.7,3.5,264.435704,308.2,-89.9
3849,2018.9626144756,308.5,40.2732470530602,-7.49921510314236,2018.9626144756,8.8,4.0,264.435704,308.2,-89.9
3850,2019.2906984756,308.5,40.2732470757803,-7.49921512146508,2019.2906984756,8.8,4.1,264.763788,308.2,-89.9
3851,2018.9626144756,308.6,40.2732470728621,-7.49921512954863,2018.9626144756,8.7,4.3,264.435704,308.2,-89.9
3852,2018.9626144756,308.6,40.2732470607725,-7.49921513601548,2018.9626144756,8.7,4.4,264.435704,308.2,-89.9
3853,2018.9626144756,308.6,40.2732470778647,-7.49921516547554,2018.9626144756,8.6,4.5,264.435704,308.2,-89.9
3854,2018.9626144756,308.6,40.273247087453,-7.49921521271942,2018.9626144756,8.6,4.1,264.435704,308.2,-89.9
3855,2018.9626144756,308.6,40.2732470951653,-7.49921522502439,2018.9626144756,8.7,4.2,264.435704,308.2,-89.9
3856,2018.9626144756,308.6,40.2732471053789,-7.49921522484476,2018.9626144756,8.8,4.4,264.435704,308.1,-89.9
3857,2018.9626144756,308.6,40.2732471251808,-7.49921532813461,2018.9626144756,8.7,4.4,264.435704,308.2,-89.9
3858,2018.9626144756,308.5,40.2732471230963,-7.49921535543906,2018.9626144756,8.7,4.1,264.435704,308.2,-89.9
3859,2018.9626144756,308.5,40.2732471264314,-7.49921535579833,2018.9626144756,8.8,4.1,264.435704,308.2,-89.9
3860,2018.9626144756,308.6,40.2732471358112,-7.4992153488824,2018.9626144756,8.7,4.4,264.435704,308.2,-89.9
3861,2019.2906984756,308.6,40.2732471485261,-7.49921527172937,2019.2906984756,8.6,4.5,264.763788,308.1,-89.9
3862,2019.2906984756,308.6,40.273247163117,-7.49921524352675,2019.2906984756,8.6,4.6,264.763788,308.2,-89.9
3863,2018.9626144756,308.6,40.2732472139766,-7.49921525071213,2018.9626144756,8.3,4.5,264.435704,308.2,-89.9
3864,2018.9626144756,308.6,40.2732472687965,-7.49921526301709,2018.9626144756,8.3,4.2,264.435704,308.1,-89.9
3865,2018.9626144756,308.6,40.2732473361229,-7.49921532813461,2018.9626144756,8.5,4.0,264.435704,308.2,-89.9
3866,2018.9626144756,308.6,40.2732473413339,-7.49921531053043,2018.9626144756,8.4,4.0,264.435704,308.2,-89.9
3867,2018.9626144756,308.6,40.2732473288275,-7.49921528816593,2018.9626144756,8.4,4.0,264.435704,308.1,-89.9
3868,2019.2906984756,308.6,40.27324731111,-7.49921526526253,2019.2906984756,8.6,4.0,264.763788,308.1,-89.9
3869,2019.2906984756,308.6,40.2732472925587,-7.49921525493354,2019.2906984756,8.5,4.0,264.763788,308.2,-89.9
3870,2019.2906984756,308.6,40.2732471977182,-7.49921526544216,2019.2906984756,8.7,4.1,264.763788,308.2,-89.9
3871,2018.9626144756,308.6,40.2732471925071,-7.49921526912467,2018.9626144756,8.5,4.0,264.435704,308.1,-89.9
3872,2019.2906984756,308.6,40.2732471968844,-7.49921527577115,2019.2906984756,8.6,4.0,264.763788,308.1,-89.9
3873,2018.9626144756,308.6,40.2732472110584,-7.49921528349543,2018.9626144756,8.4,4.2,264.435704,308.1,-89.9
3874,2018.9626144756,308.5,40.2732472400317,-7.49921534295446,2018.9626144756,8.2,4.3,264.435704,308.2,-89.9
3875,2018.9626144756,308.6,40.273247260042,-7.4992153416072,2018.9626144756,8.2,4.4,264.435704,308.1,-89.9
3876,2018.9626144756,308.6,40.2732472773426,-7.49921533460146,2018.9626144756,8.1,4.3,264.435704,308.2,-89.9
3877,2018.9626144756,308.6,40.2732472852633,-7.49921532418265,2018.9626144756,8.2,4.3,264.435704,308.1,-89.9
3878,2019.2906984756,308.6,40.2732472910997,-7.49921531160824,2019.2906984756,8.1,4.4,264.763788,308.1,-89.9
3879,2019.2906984756,308.6,40.2732473231995,-7.49921529669857,2019.2906984756,8.3,4.5,264.763788,308.2,-89.9
3880,2018.9626144756,308.7,40.2732473582176,-7.49921527334608,2018.9626144756,8.2,4.4,264.435704,308.1,-89.9
3881,2019.2906984756,308.7,40.2732473548826,-7.49921528636958,2019.2906984756,8.2,4.1,264.763788,308.1,-89.9
3882,2019.2906984756,308.6,40.2732473630117,-7.49921540582655,2019.2906984756,8.3,4.0,264.763788,308.1,-89.9
3883,2018.9626144756,308.6,40.2732473342469,-7.49921540250331,2018.9626144756,8.3,3.7,264.435704,308.2,-89.9
3884,2019.2906984756,308.6,40.2732473029808,-7.49921539082707,2019.2906984756,8.3,3.7,264.763788,308.1,-89.9
3885,2018.9626144756,308.6,40.2732472800523,-7.49921537681557,2018.9626144756,8.4,3.9,264.435704,308.1,-89.9
3886,2018.9626144756,308.6,40.2732472596251,-7.49921536316335,2018.9626144756,8.4,4.0,264.435704,308.1,-89.9
3887,2018.9626144756,308.7,40.2732472116837,-7.49921537995918,2018.9626144756,8.5,4.1,264.435704,308.1,-89.9
3888,2019.2906984756,308.7,40.2732472114753,-7.4992153764563,2019.2906984756,8.4,4.1,264.763788,308.1,-89.9
3889,2018.9626144756,308.7,40.2732472173116,-7.4992153384636,2018.9626144756,8.6,4.2,264.435704,308.1,-89.9
3890,2019.2906984756,308.7,40.2732472214804,-7.49921528214817,2019.2906984756,8.5,4.0,264.763788,308.1,-89.9
3891,2019.2906984756,308.7,40.2732472779679,-7.49921522430585,2019.2906984756,8.6,4.0,264.763788,308.2,-89.9
3892,2019.2906984756,308.7,40.2732472735906,-7.49921519053456,2019.2906984756,8.6,3.7,264.763788,308.1,-89.9
3893,2019.2906984756,308.6,40.2732472669205,-7.49921516601444,2019.2906984756,8.5,3.5,264.763788,308.1,-89.9
3894,2019.2906984756,308.6,40.2732472617095,-7.49921514508702,2019.2906984756,8.6,3.5,264.763788,308.1,-89.9
3895,2019.2906984756,308.6,40.2732472727569,-7.49921520777947,2019.2906984756,8.6,3.6,264.763788,308.1,-89.9
3896,2019.2906984756,308.6,40.273247274216,-7.49921520418678,2019.2906984756,8.5,3.6,264.763788,308.1,-89.9
3897,2019.2906984756,308.6,40.2732472456596,-7.49921521855755,2019.2906984756,8.5,3.7,264.763788,308.1,-89.9
3898,2019.2906984756,308.6,40.2732472098077,-7.49921524325729,2019.2906984756,8.6,4.0,264.763788,308.1,-89.9
3899,2019.2906984756,308.6,40.2732471566553,-7.49921524155077,2019.2906984756,8.7,4.0,264.763788,308.1,-89.9
3900,2018.9626144756,308.6,40.2732471656183,-7.4992152219706,2018.9626144756,8.7,4.0,264.435704,308.2,-89.9
3901,2018.9626144756,308.7,40.273247147067,-7.49921521864736,2018.9626144756,8.6,3.9,264.435704,308.1,-89.9
3902,2018.9626144756,308.7,40.2732471208035,-7.4992152167612,2018.9626144756,8.5,4.1,264.435704,308.1,-89.9
3903,2018.9626144756,308.7,40.2732471543625,-7.49921521029436,2018.9626144756,8.5,4.2,264.435704,308.1,-89.9
3904,2018.9626144756,308.6,40.2732472514959,-7.49921523176069,2018.9626144756,8.4,4.1,264.435704,308.1,-89.9
3905,2018.9626144756,308.7,40.2732472831789,-7.49921521532412,2018.9626144756,8.4,4.1,264.435704,308.1,-89.9
3906,2018.9626144756,308.6,40.2732473079834,-7.49921519664213,2018.9626144756,8.3,4.2,264.435704,308.1,-89.9
3907,2018.9626144756,308.7,40.2732473129859,-7.49921518182228,2018.9626144756,8.5,4.3,264.435704,308.1,-89.9
3908,2018.9626144756,308.7,40.27324729506,-7.49921516718207,2018.9626144756,8.5,4.1,264.435704,308.1,-89.9
3909,2018.9626144756,308.7,40.2732473236164,-7.4992151574818,2018.9626144756,8.5,4.1,264.435704,308.1,-89.9
3910,2018.9626144756,308.7,40.2732473623864,-7.49921514580556,2018.9626144756,8.4,4.2,264.435704,308.1,-89.9
3911,2018.9626144756,308.7,40.2732473705156,-7.4992151345784,2018.9626144756,8.5,3.9,264.435704,308.1,-89.9
3912,2018.9626144756,308.6,40.2732473953201,-7.49921516763115,2018.9626144756,8.6,3.9,264.435704,308.1,-89.9
3913,2019.2906984756,308.6,40.2732474282537,-7.49921515811053,2019.2906984756,8.6,3.9,264.763788,308.1,-89.9
3914,2019.2906984756,308.6,40.2732474778626,-7.49921514841026,2019.2906984756,8.5,4.0,264.763788,308.1,-89.9
3915,2019.2906984756,308.6,40.2732475055853,-7.49921510619614,2019.2906984756,8.5,4.2,264.763788,308.2,-89.9
3916,2018.9626144756,308.5,40.2732475679091,-7.49921501557052,2018.9626144756,8.4,4.2,264.435704,308.1,-89.9
3917,2019.2906984756,308.6,40.2732475920882,-7.49921499895433,2019.2906984756,8.1,4.5,264.763788,308.1,-89.9
3918,2018.9626144756,308.6,40.2732476114732,-7.49921499087077,2018.9626144756,8.1,4.5,264.435704,308.1,-89.9
3919,2018.9626144756,308.6,40.2732476546205,-7.49921499473291,2018.9626144756,8.0,4.5,264.435704,308.1,-89.9
3920,2018.9626144756,308.7,40.273247700269,-7.49921500003213,2018.9626144756,8.2,4.4,264.435704,308.1,-89.9
3921,2019.2906984756,308.7,40.2732477100657,-7.4992150773648,2019.2906984756,8.5,4.5,264.763788,308.1,-89.9
3922,2019.2906984756,308.7,40.2732476981846,-7.49921507835279,2019.2906984756,8.4,4.5,264.763788,308.1,-89.9
3923,2018.9626144756,308.6,40.273247702145,-7.49921507431101,2018.9626144756,8.5,4.3,264.435704,308.1,-89.9
3924,2019.2906984756,308.6,40.2732477090235,-7.49921506470057,2019.2906984756,8.6,4.2,264.763788,308.1,-89.9
3925,2019.2906984756,308.6,40.2732476352355,-7.49921498296685,2019.2906984756,8.7,4.1,264.763788,308.1,-89.9
3926,2018.9626144756,308.6,40.2732476198109,-7.49921491272975,2018.9626144756,8.5,3.9,264.435704,308.1,-89.9
3927,2018.9626144756,308.6,40.2732476118901,-7.49921487204253,2018.9626144756,8.6,4.1,264.435704,308.1,-89.9
3928,2018.9626144756,308.6,40.2732476118901,-7.4992148380916,2018.9626144756,8.5,4.2,264.435704,308.1,-89.9
3929,2018.9626144756,308.6,40.2732476162674,-7.49921488569475,2018.9626144756,8.3,4.2,264.435704,308.1,-89.9
3930,2018.9626144756,308.6,40.2732476391959,-7.4992148854253,2018.9626144756,8.3,4.5,264.435704,308.1,-89.9
3931,2018.9626144756,308.6,40.2732476662932,-7.49921486234226,2018.9626144756,8.3,4.6,264.435704,308.1,-89.9
3932,2019.2906984756,308.7,40.2732476917229,-7.49921482946914,2019.2906984756,8.5,4.8,264.763788,308.2,-89.9
3933,2019.2906984756,308.7,40.2732477090235,-7.49921483925922,2019.2906984756,8.4,4.6,264.763788,308.1,-89.9
3934,2019.2906984756,308.6,40.2732477209047,-7.49921483611562,2019.2906984756,8.3,4.4,264.763788,308.1,-89.9
3935,2019.2906984756,308.6,40.2732477559227,-7.49921483943886,2019.2906984756,8.5,4.5,264.763788,308.1,-89.9
3936,2019.2906984756,308.6,40.2732478019881,-7.49921484294173,2019.2906984756,8.3,4.4,264.763788,308.1,-89.9
3937,2019.2906984756,308.6,40.2732478174128,-7.4992148037814,2019.2906984756,8.3,4.7,264.763788,308.1,-89.9
3938,2019.2906984756,308.7,40.2732478251251,-7.49921472797563,2019.2906984756,8.5,4.6,264.763788,308.1,-89.9
3939,2019.2906984756,308.6,40.2732478167874,-7.49921469851556,2019.2906984756,8.4,4.3,264.763788,308.1,-89.9
3940,2019.2906984756,308.6,40.2732478080329,-7.49921468055211,2019.2906984756,8.4,4.5,264.763788,308.1,-89.9
3941,2019.2906984756,308.6,40.2732478011544,-7.49921468603097,2019.2906984756,8.4,4.5,264.763788,308.1,-89.9
